"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","43","GET /todos (200)","chromium","2026-06-03","passed","2026-06-03","API challenge","","",""
"","4013","Open favorited article tab","chromium","2026-06-03","passed","2026-06-03","Регистрация","","",""
"","3964","Open my article tab","chromium","2026-06-03","passed","2026-06-03","Регистрация","","",""
"","33","PUT /todos/{id}","chromium","2026-06-03","passed","2026-06-03","API challenge","","",""
"","4977","Create article","chromium","2026-06-03","passed","2026-06-03","Регистрация","","",""
"","31","POST /todos (400) title too long","chromium","2026-06-03","passed","2026-06-03","API challenge","","",""
"","35","POST /todos (201)","chromium","2026-06-03","passed","2026-06-03","API challenge","","",""
"","6076","Update article","chromium","2026-06-03","passed","2026-06-03","Регистрация","","",""
"","5728","Add comment","chromium","2026-06-03","passed","2026-06-03","Регистрация","","",""
"","58","DELETE /todos/{id} (200)","chromium","2026-06-03","passed","2026-06-03","API challenge","","",""
