"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5127","Create article","chromium","2026-05-29","passed","2026-05-29","Регистрация","","",""
"","24","POST /todos (201)","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
"","6191","Update article","chromium","2026-05-29","passed","2026-05-29","Регистрация","","",""
"","30","GET /todos (200)","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
"","4084","Open favorited article tab","chromium","2026-05-29","passed","2026-05-29","Регистрация","","",""
"","19","PUT /todos/{id}","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
"","3962","Open my article tab","chromium","2026-05-29","passed","2026-05-29","Регистрация","","",""
"","5966","Add comment","chromium","2026-05-29","passed","2026-05-29","Регистрация","","",""
"","47","POST /todos (400) title too long","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
"","30","DELETE /todos/{id} (200)","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
