"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","170","Удалить задание Delete /todos/{id} (200)","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
"","5433","Add comment","chromium","2026-05-29","passed","2026-05-29","Регистрация","","",""
"","182","Получить список todo get /todos(200)","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
"","4354","Create article","chromium","2026-05-29","passed","2026-05-29","Регистрация","","",""
"","5231","Update article","chromium","2026-05-29","passed","2026-05-29","Регистрация","","",""
"","179","Создать todo POST /todos (201)","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
"","3500","Open favorited article tab","chromium","2026-05-29","passed","2026-05-29","Регистрация","","",""
"","3263","Open my article tab","chromium","2026-05-29","passed","2026-05-29","Регистрация","","",""
"","170","Отредактировать задание PUT /todos/{id}","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
"","188","Создать todo POST /todos (400) title too long","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
