"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","157","Создать todo POST /todos (400) extra","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
"","161","Создать todo POST /todos (400) doneStatus","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
"","3203","Open my article tab","chromium","2026-05-29","passed","2026-05-29","Регистрация","","",""
"","4142","Create article","chromium","2026-05-29","passed","2026-05-29","Регистрация","","",""
"","176","Создать todo POST /todos (201)","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
"","161","Создать todo POST /todos (400) title too long","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
"","159","Отредактировать задание PUT /todos/{id}","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
"","170","Создать todo POST /todos (413) content too long","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
"","163","Создать todo POST /todos (400) description too long","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
"","161","Отредактировать todo с POST /todos/{id} (200)","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
"","4377","Add comment","chromium","2026-05-29","passed","2026-05-29","Регистрация","","",""
"","159","Создать todo POST /todos (201) max out content","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
"","5152","Update article","chromium","2026-05-29","passed","2026-05-29","Регистрация","","",""
"","162","Получить список todo GET /todos (200) ?filter","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
"","244","Получить список заданий get /challenges","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
"","161","Получить /todos/{id} (404)","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
"","167","Получить todos/{id} (200)","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
"","3340","Open favorited article tab","chromium","2026-05-29","passed","2026-05-29","Регистрация","","",""
"","165","Получить список todo get /todos(200)","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
"","158","Отредактировать todo с POST /todos/{id} (404)","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
"","158","Удалить задание Delete /todos/{id} (200)","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
"","160","Отредактировать задание PUT /todos/{id} full (200)","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
"","171","Получить список todo GET /todo not plural","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
