"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","202","POST /todos (400) title too long","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
"","198","GET /todos (200)","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
"","7400","Add comment","chromium","2026-05-29","passed","2026-05-29","Регистрация","","",""
"","197","POST /todos (201)","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
"","5369","Update article","chromium","2026-05-29","passed","2026-05-29","Регистрация","","",""
"","189","PUT /todos/{id}","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
"","4556","Create article","chromium","2026-05-29","passed","2026-05-29","Регистрация","","",""
"","283","DELETE /todos/{id} (200)","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
"","3473","Open my article tab","chromium","2026-05-29","passed","2026-05-29","Регистрация","","",""
"","3507","Open favorited article tab","chromium","2026-05-29","passed","2026-05-29","Регистрация","","",""
