"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4786","Add comment","chromium","2026-05-29","passed","2026-05-29","Регистрация","","",""
"","4573","Create article","chromium","2026-05-29","passed","2026-05-29","Регистрация","","",""
"","5289","Update article","chromium","2026-05-29","passed","2026-05-29","Регистрация","","",""
"","3231","Open favorited article tab","chromium","2026-05-29","passed","2026-05-29","Регистрация","","",""
"","3220","Open my article tab","chromium","2026-05-29","passed","2026-05-29","Регистрация","","",""
"","186","POST /todos (201)","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
"","187","GET /todos (200)","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
"","172","PUT /todos/{id}","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
"","254","DELETE /todos/{id} (200)","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
"","186","POST /todos (400) title too long","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
