"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8809","Update article","chromium","2026-06-08","failed","2026-06-08","Регистрация","","",""
"","5807","Add comment","chromium","2026-06-08","passed","2026-06-08","Регистрация","","",""
"","3596","Open favorited article tab","chromium","2026-06-08","passed","2026-06-08","Регистрация","","",""
"","924","DELETE /todos/{id} (200)","chromium","2026-06-08","passed","2026-06-08","API challenge","","",""
"","560","GET /todos (200)","chromium","2026-06-08","passed","2026-06-08","API challenge","","",""
"","4610","Create article","chromium","2026-06-08","passed","2026-06-08","Регистрация","","",""
"","3476","Open my article tab","chromium","2026-06-08","passed","2026-06-08","Регистрация","","",""
"","549","POST /todos (201)","chromium","2026-06-08","passed","2026-06-08","API challenge","","",""
"","552","POST /todos (400) title too long","chromium","2026-06-08","passed","2026-06-08","API challenge","","",""
"","553","PUT /todos/{id}","chromium","2026-06-08","passed","2026-06-08","API challenge","","",""
