"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5289","Update article","chromium","2026-05-29","passed","2026-05-29","Регистрация","","",""
"","195","Удалить задание Delete /todos/{id} (200)","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
"","201","Получить список todo get /todos(200)","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
"","196","Отредактировать задание PUT /todos/{id}","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
"","195","Создать todo POST /todos (201)","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
"","4609","Create article","chromium","2026-05-29","passed","2026-05-29","Регистрация","","",""
"","3499","Open my article tab","chromium","2026-05-29","passed","2026-05-29","Регистрация","","",""
"","202","Создать todo POST /todos (400) title too long","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
"","5165","Add comment","chromium","2026-05-29","passed","2026-05-29","Регистрация","","",""
"","3551","Open favorited article tab","chromium","2026-05-29","passed","2026-05-29","Регистрация","","",""
