"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","POST /todos (400) title too long","chromium","2026-05-29","skipped","2026-05-29","API challenge","","",""
"","5287","Add comment","chromium","2026-05-29","passed","2026-05-29","Регистрация","","",""
"","6775","Open my article tab","chromium","2026-05-29","passed","2026-05-29","Регистрация","","",""
"","2","POST /todos (201)","chromium","2026-05-29","skipped","2026-05-29","API challenge","","",""
"","3507","Open favorited article tab","chromium","2026-05-29","passed","2026-05-29","Регистрация","","",""
"","5635","Update article","chromium","2026-05-29","passed","2026-05-29","Регистрация","","",""
"","1","PUT /todos/{id}","chromium","2026-05-29","skipped","2026-05-29","API challenge","","",""
"","4765","Create article","chromium","2026-05-29","passed","2026-05-29","Регистрация","","",""
"","0","DELETE /todos/{id} (200)","chromium","2026-05-29","skipped","2026-05-29","API challenge","","",""
"","54","GET /todos (200)","chromium","2026-05-29","failed","2026-05-29","API challenge","","",""
