"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","73","POST /todos (400) title too long","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
"","69","GET /todos (200)","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
"","72","POST /todos (201)","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
"","4932","Create article","chromium","2026-05-29","passed","2026-05-29","Регистрация","","",""
"","3577","Open favorited article tab","chromium","2026-05-29","passed","2026-05-29","Регистрация","","",""
"","61","PUT /todos/{id}","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
"","5727","Update article","chromium","2026-05-29","passed","2026-05-29","Регистрация","","",""
"","3604","Open my article tab","chromium","2026-05-29","passed","2026-05-29","Регистрация","","",""
"","97","DELETE /todos/{id} (200)","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
"","5306","Add comment","chromium","2026-05-29","passed","2026-05-29","Регистрация","","",""
