"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","47","GET /todos (200)","chromium","2026-05-29","failed","2026-05-29","API challenge","","",""
"","5176","Update article","chromium","2026-05-29","passed","2026-05-29","Регистрация","","",""
"","5444","Add comment","chromium","2026-05-29","passed","2026-05-29","Регистрация","","",""
"","3557","Open favorited article tab","chromium","2026-05-29","passed","2026-05-29","Регистрация","","",""
"","1","POST /todos (201)","chromium","2026-05-29","skipped","2026-05-29","API challenge","","",""
"","1","DELETE /todos/{id} (200)","chromium","2026-05-29","skipped","2026-05-29","API challenge","","",""
"","1","PUT /todos/{id}","chromium","2026-05-29","skipped","2026-05-29","API challenge","","",""
"","3563","Open my article tab","chromium","2026-05-29","passed","2026-05-29","Регистрация","","",""
"","4598","Create article","chromium","2026-05-29","passed","2026-05-29","Регистрация","","",""
"","2","POST /todos (400) title too long","chromium","2026-05-29","skipped","2026-05-29","API challenge","","",""
