"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5674","Add comment","chromium","2026-05-29","passed","2026-05-29","Регистрация","","",""
"","3901","Open my article tab","chromium","2026-05-29","passed","2026-05-29","Регистрация","","",""
"","4067","Open favorited article tab","chromium","2026-05-29","passed","2026-05-29","Регистрация","","",""
"","58","GET /todos (200)","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
"","50","PUT /todos/{id}","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
"","5523","Create article","chromium","2026-05-29","passed","2026-05-29","Регистрация","","",""
"","57","POST /todos (400) title too long","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
"","73","DELETE /todos/{id} (200)","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
"","6211","Update article","chromium","2026-05-29","passed","2026-05-29","Регистрация","","",""
"","50","POST /todos (201)","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
