"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","23","GET /todos (200)","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
"","21","DELETE /todos/{id} (200)","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
"","15","PUT /todos/{id}","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
"","5817","Update article","chromium","2026-05-29","passed","2026-05-29","Регистрация","","",""
"","26","POST /todos (400) title too long","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
"","4206","Open favorited article tab","chromium","2026-05-29","passed","2026-05-29","Регистрация","","",""
"","5076","Create article","chromium","2026-05-29","passed","2026-05-29","Регистрация","","",""
"","3958","Open my article tab","chromium","2026-05-29","passed","2026-05-29","Регистрация","","",""
"","5872","Add comment","chromium","2026-05-29","passed","2026-05-29","Регистрация","","",""
"","19","POST /todos (201)","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
