"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3440","Open favorited article tab","chromium","2026-05-29","passed","2026-05-29","Регистрация","","",""
"","167","PUT /todos/{id}","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
"","3395","Open my article tab","chromium","2026-05-29","passed","2026-05-29","Регистрация","","",""
"","4503","Create article","chromium","2026-05-29","passed","2026-05-29","Регистрация","","",""
"","4611","Add comment","chromium","2026-05-29","passed","2026-05-29","Регистрация","","",""
"","180","POST /todos (400) title too long","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
"","174","POST /todos (201)","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
"","5231","Update article","chromium","2026-05-29","passed","2026-05-29","Регистрация","","",""
"","183","GET /todos (200)","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
"","252","DELETE /todos/{id} (200)","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
