"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","27","Получить список заданий get /challenges","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
"","18","Получить /todos/{id} (404)","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
"","24","Создать todo POST /todos (413) content too long","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
"","22","Получить todos/{id} (200)","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
"","12","Создать todo POST /todos (400) extra","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
"","12","Удалить задание Delete /todos/{id} (200)","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
"","19","Получить список todo GET /todos (200) ?filter","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
"","24","Получить список todo get /todos(200)","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
"","4054","Open my article tab","chromium","2026-05-29","passed","2026-05-29","Регистрация","","",""
"","23","Создать todo POST /todos (400) doneStatus","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
"","6162","Update article","chromium","2026-05-29","passed","2026-05-29","Регистрация","","",""
"","16","Отредактировать задание PUT /todos/{id}","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
"","15","Отредактировать todo с POST /todos/{id} (404)","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
"","3954","Open favorited article tab","chromium","2026-05-29","passed","2026-05-29","Регистрация","","",""
"","26","Создать todo POST /todos (400) title too long","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
"","15","Отредактировать задание PUT /todos/{id} full (200)","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
"","16","Создать todo POST /todos (400) description too long","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
"","36","Получить список todo GET /todo not plural","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
"","5692","Add comment","chromium","2026-05-29","passed","2026-05-29","Регистрация","","",""
"","5251","Create article","chromium","2026-05-29","passed","2026-05-29","Регистрация","","",""
"","32","Создать todo POST /todos (201)","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
"","15","Создать todo POST /todos (201) max out content","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
"","16","Отредактировать todo с POST /todos/{id} (200)","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
