"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","233","GET /todos (200)","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
"","5464","Create article","chromium","2026-05-29","passed","2026-05-29","Регистрация","","",""
"","225","PUT /todos/{id}","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
"","3620","Open my article tab","chromium","2026-05-29","passed","2026-05-29","Регистрация","","",""
"","230","POST /todos (201)","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
"","238","POST /todos (400) title too long","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
"","6011","Update article","chromium","2026-05-29","passed","2026-05-29","Регистрация","","",""
"","5252","Add comment","chromium","2026-05-29","passed","2026-05-29","Регистрация","","",""
"","340","DELETE /todos/{id} (200)","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
"","3590","Open favorited article tab","chromium","2026-05-29","passed","2026-05-29","Регистрация","","",""
